OSU_RTS.MDBUS_E3.039_E01 Time [SNAP],OSU_RTS.MDBUS_E3.039_E01 Value [SNAP],OSU_RTS.MDBUS_E3.039_E01 Status [SNAP],OSU_RTS.MDBUS_RT.039S_C Time [SNAP],OSU_RTS.MDBUS_RT.039S_C Value [SNAP],OSU_RTS.MDBUS_RT.039S_C Status [SNAP],OSU_RTS.MDBUS_RT.039S_DP Time [SNAP],OSU_RTS.MDBUS_RT.039S_DP Value [SNAP],OSU_RTS.MDBUS_RT.039S_DP Status [SNAP],OSU_RTS.MDBUS_RT.039S_HF Time [SNAP],OSU_RTS.MDBUS_RT.039S_HF Value [SNAP],OSU_RTS.MDBUS_RT.039S_HF Status [SNAP],OSU_RTS.MDBUS_RT.039S_HGT Time [SNAP],OSU_RTS.MDBUS_RT.039S_HGT Value [SNAP],OSU_RTS.MDBUS_RT.039S_HGT Status [SNAP],OSU_RTS.MDBUS_RT.039S_I Time [SNAP],OSU_RTS.MDBUS_RT.039S_I Value [SNAP],OSU_RTS.MDBUS_RT.039S_I Status [SNAP],OSU_RTS.MDBUS_RT.039S_P Time [SNAP],OSU_RTS.MDBUS_RT.039S_P Value [SNAP],OSU_RTS.MDBUS_RT.039S_P Status [SNAP],OSU_RTS.MDBUS_RT.039S_T Time [SNAP],OSU_RTS.MDBUS_RT.039S_T Value [SNAP],OSU_RTS.MDBUS_RT.039S_T Status [SNAP],Comments
10/15/18 0:00,273266,OK,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,01/01/70 0:00,0,No Records.,
10/15/18 0:15,273274,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 0:30,273282,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 0:45,273290,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 1:00,273297,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 1:15,273303,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 1:30,273310,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 1:45,273317,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 2:00,273324,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 2:15,273330,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 2:30,273337,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 2:45,273343,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 3:00,273349,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 3:15,273356,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 3:30,273362,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 3:45,273368,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 4:00,273374,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 4:15,273380,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 4:30,273386,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 4:45,273393,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 5:00,273399,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 5:15,273405,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 5:30,273411,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 5:45,273417,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 6:00,273423,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 6:15,273429,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 6:30,273435,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 6:45,273441,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 7:00,273446,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 7:15,273452,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 7:30,273458,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 7:45,273465,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 8:00,273472,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 8:15,273479,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 8:30,273486,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 8:45,273493,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 9:00,273501,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 9:15,273509,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 9:30,273517,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 9:45,273525,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 10:00,273533,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 10:15,273541,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 10:30,273550,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 10:45,273558,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 11:00,273568,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 11:15,273576,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 11:30,273585,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 11:45,273594,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 12:00,273603,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 12:15,273612,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 12:30,273620,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 12:45,273629,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 13:00,273638,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 13:15,273647,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 13:30,273656,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 13:45,273665,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 14:00,273674,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 14:15,273683,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 14:30,273692,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 14:45,273702,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 15:00,273711,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 15:15,273721,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 15:30,273731,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 15:45,273741,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 16:00,273751,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 16:15,273761,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 16:30,273771,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 16:45,273781,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 17:00,273790,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 17:15,273800,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 17:30,273809,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 17:45,273818,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 18:00,273828,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 18:15,273837,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 18:30,273847,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 18:45,273856,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 19:00,273865,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 19:15,273874,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 19:30,273883,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 19:45,273892,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 20:00,273901,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 20:15,273909,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 20:30,273918,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 20:45,273926,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 21:00,273934,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 21:15,273943,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 21:30,273951,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 21:45,273959,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 22:00,273967,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 22:15,273975,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 22:30,273984,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 22:45,273992,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 23:00,274000,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 23:15,274008,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 23:30,274016,OK,,,,,,,,,,,,,,,,,,,,,,
10/15/18 23:45,274024,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 0:00,274032,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 0:15,274040,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 0:30,274048,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 0:45,274057,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 1:00,274065,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 1:15,274074,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 1:30,274082,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 1:45,274090,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 2:00,274097,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 2:15,274104,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 2:30,274111,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 2:45,274118,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 3:00,274124,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 3:15,274130,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 3:30,274136,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 3:45,274142,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 4:00,274148,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 4:15,274154,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 4:30,274160,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 4:45,274166,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 5:00,274172,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 5:15,274177,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 5:30,274183,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 5:45,274189,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 6:00,274195,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 6:15,274201,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 6:30,274207,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 6:45,274213,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 7:00,274220,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 7:15,274226,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 7:30,274232,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 7:45,274238,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 8:00,274245,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 8:15,274252,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 8:30,274259,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 8:45,274266,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 9:00,274274,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 9:15,274282,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 9:30,274291,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 9:45,274300,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 10:00,274309,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 10:15,274318,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 10:30,274327,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 10:45,274336,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 11:00,274345,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 11:15,274355,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 11:30,274365,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 11:45,274376,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 12:00,274386,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 12:15,274396,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 12:30,274406,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 12:45,274417,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 13:00,274427,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 13:15,274438,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 13:30,274449,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 13:45,274460,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 14:00,274471,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 14:15,274481,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 14:30,274491,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 14:45,274501,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 15:00,274511,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 15:15,274521,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 15:30,274531,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 15:45,274542,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 16:00,274552,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 16:15,274561,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 16:30,274571,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 16:45,274580,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 17:00,274590,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 17:15,274599,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 17:30,274608,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 17:45,274618,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 18:00,274627,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 18:15,274635,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 18:30,274644,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 18:45,274653,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 19:00,274662,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 19:15,274670,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 19:30,274678,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 19:45,274686,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 20:00,274694,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 20:15,274702,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 20:30,274710,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 20:45,274717,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 21:00,274725,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 21:15,274732,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 21:30,274740,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 21:45,274747,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 22:00,274754,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 22:15,274762,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 22:30,274769,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 22:45,274776,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 23:00,274783,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 23:15,274791,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 23:30,274798,OK,,,,,,,,,,,,,,,,,,,,,,
10/16/18 23:45,274806,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 0:00,274813,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 0:15,274821,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 0:30,274829,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 0:45,274837,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 1:00,274844,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 1:15,274852,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 1:30,274860,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 1:45,274868,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 2:00,274876,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 2:15,274885,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 2:30,274893,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 2:45,274901,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 3:00,274908,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 3:15,274915,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 3:30,274921,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 3:45,274928,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 4:00,274935,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 4:15,274941,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 4:30,274948,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 4:45,274955,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 5:00,274962,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 5:15,274968,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 5:30,274975,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 5:45,274982,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 6:00,274989,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 6:15,274996,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 6:30,275003,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 6:45,275009,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 7:00,275016,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 7:15,275023,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 7:30,275030,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 7:45,275038,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 8:00,275047,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 8:15,275056,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 8:30,275065,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 8:45,275074,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 9:00,275083,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 9:15,275093,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 9:30,275103,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 9:45,275113,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 10:00,275123,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 10:15,275132,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 10:30,275142,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 10:45,275152,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 11:00,275161,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 11:15,275171,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 11:30,275181,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 11:45,275191,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 12:00,275200,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 12:15,275210,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 12:30,275219,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 12:45,275229,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 13:00,275239,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 13:15,275249,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 13:30,275259,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 13:45,275269,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 14:00,275279,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 14:15,275288,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 14:30,275298,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 14:45,275308,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 15:00,275317,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 15:15,275327,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 15:30,275336,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 15:45,275346,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 16:00,275356,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 16:15,275366,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 16:30,275376,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 16:45,275386,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 17:00,275396,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 17:15,275406,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 17:30,275415,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 17:45,275424,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 18:00,275434,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 18:15,275444,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 18:30,275453,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 18:45,275462,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 19:00,275470,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 19:15,275477,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 19:30,275485,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 19:45,275492,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 20:00,275500,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 20:15,275507,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 20:30,275514,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 20:45,275521,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 21:00,275529,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 21:15,275536,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 21:30,275543,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 21:45,275550,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 22:00,275558,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 22:15,275565,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 22:30,275572,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 22:45,275579,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 23:00,275586,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 23:15,275594,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 23:30,275601,OK,,,,,,,,,,,,,,,,,,,,,,
10/17/18 23:45,275609,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 0:00,275617,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 0:15,275625,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 0:30,275633,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 0:45,275641,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 1:00,275649,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 1:15,275657,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 1:30,275665,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 1:45,275674,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 2:00,275681,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 2:15,275689,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 2:30,275696,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 2:45,275703,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 3:00,275710,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 3:15,275716,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 3:30,275722,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 3:45,275728,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 4:00,275734,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 4:15,275740,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 4:30,275747,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 4:45,275753,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 5:00,275759,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 5:15,275765,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 5:30,275771,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 5:45,275777,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 6:00,275783,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 6:15,275789,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 6:30,275796,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 6:45,275802,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 7:00,275808,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 7:15,275815,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 7:30,275821,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 7:45,275828,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 8:00,275835,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 8:15,275843,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 8:30,275850,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 8:45,275858,OK,,,,,,,,,,,,,,,,,,,,,,
10/18/18 9:00,275865,OK,,,,,,,,,,,,,,,,,,,,,,
